symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
AIII,2016-12-31,False,FY,2016,10-K,,,-3419757.0,-0.16,-0.16,0.0,21047523.0,,,16638702.0,20349266.0,-3236213.0,,
ACY,2016-12-31,False,FY,2016,10-K,28716300.0,,1221700.0,0.78,0.78,0.0,218736100.0,,,2194400.0,42500200.0,11344500.0,-29129700.0,17258600.0
APT,2016-12-31,False,FY,2016,10-K,46176000.0,3672000.0,3168000.0,0.19,0.19,0.0,35936000.0,29663000.0,2465000.0,9456000.0,32664000.0,6833000.0,-308000.0,-6750000.0
LODE,2016-12-31,False,FY,2016,10-K,5070217.0,-10213344.0,-12964704.0,-0.07,-0.07,0.0,33843031.0,7964371.0,2424154.0,184359.0,14416589.0,-2597933.0,2561535.0,-1442413.0
CMT,2016-12-31,False,FY,2016,10-K,174882000.0,,7411000.0,0.97,0.97,0.0,134836000.0,61269000.0,21298000.0,28285000.0,96766000.0,26069000.0,-2863000.0,-3864000.0
CVU,2016-12-31,False,FY,2016,10-K,81329858.0,-4295272.0,-3608576.0,0.42,0.42,0.0,117791895.0,111288206.0,40692721.0,1039586.0,67605706.0,-6600802.0,-136320.0,6774685.0
GST,2016-12-31,False,FY,2016,10-K,58254000.0,-53846000.0,-103534000.0,-0.93,-0.93,0.0,300204000.0,105379000.0,29734000.0,71529000.0,-140435000.0,6737000.0,66480000.0,-51762000.0
HH,2016-12-31,False,FY,2016,10-K,34271000.0,-7236000.0,-10324000.0,-1.15,-1.15,0.0,14254000.0,7478000.0,16801000.0,1866000.0,-2864000.0,-4400000.0,-364000.0,4639000.0
HCHC,2016-12-31,False,FY,2016,10-K,1558126000.0,-1421000.0,-105398000.0,-2.83,-2.83,0.0,2835276000.0,22144000.0,14234000.0,115371000.0,67439000.0,79148000.0,-140218000.0,18788000.0
IMH,2016-12-31,False,FY,2016,10-K,297756000.0,59713000.0,46670000.0,3.54,3.31,0.0,4863734000.0,,,40096000.0,231040000.0,65476000.0,641901000.0,-699690000.0
